Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
53536557,"The Lesser Devil (The Sun Eater, #1.5)",Christopher Ruocchio,"Ruocchio, Christopher",,,,0,,Kindle Edition,185,2020,2020,,2026/05/31,to-read,to-read (#25),to-read,,,,1,0
944652,Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,"Munger, Charles T.",Peter E. Kaufman,157864366X,9781578643660,0,Donning Co Pub,Hardcover,512,2006,2005,,2025/11/02,to-read,to-read (#24),to-read,,,,1,0
60567289,Pharaohs of the Sun: How Egypt's Despots and Dreamers Drove the Rise and Fall of Tutankhamun's Dynasty,Guy de la Bédoyère,"Bédoyère, Guy de la",,1408714256,9781408714256,0,"Little, Brown",Hardcover,560,2022,2023,,2025/10/27,to-read,to-read (#23),to-read,,,,1,0
11250317,The Song of Achilles,Madeline Miller,"Miller, Madeline",,1408816032,9781408816035,5.0,Bloomsbury Publishing,Hardcover,352,2011,2011,2019/02/08,2018/12/16,favorites,favorites (#17),read,,,,2,0
56990077,First Peoples in a New World,David J. Meltzer,"Meltzer, David J.",,1108735479,9781108735476,0,Cambridge University Press,Paperback,514,2021,,,2026/08/05,currently-reading,currently-reading (#2),currently-reading,,,,1,0
199793692,"Lost Worlds: How Humans Tried, Failed, Succeeded, and Built Our World",Patrick Wyman,"Wyman, Patrick",,0063256487,9780063256484,4.0,Harper,Hardcover,464,2026,2026,2026/07/20,2026/07/01,,,read,,,,1,0
222685709,"Shadows Upon Time (The Sun Eater, #7)",Christopher Ruocchio,"Ruocchio, Christopher",,,,5.0,,Unknown Binding,928,2025,2025,2026/7/24,2026/05/27,,,read,,,,2,0
28251240,The Call of Cthulhu and Other Weird Stories,H.P. Lovecraft,"Lovecraft, H.P.",S.T. Joshi,0143129457,9780143129455,4.0,Penguin Classics,Paperback,360,2016,1928,2019/03/05,2019/02/08,,,read,,,,1,0
176443792,"Disquiet Gods (The Sun Eater, #6)",Christopher Ruocchio,"Ruocchio, Christopher",,1982193328,9781982193324,5.0,Baen,Hardcover,704,2024,2024,2026/06/20,2026/05/27,,,read,,,,1,0
60427253,"Ashes of Man (The Sun Eater, #5)",Christopher Ruocchio,"Ruocchio, Christopher",,0756416604,9780756416607,4.0,DAW,Hardcover,544,2022,2022,2026/06/01,2026/05/31,,,read,,,,1,0
57443696,"Kingdoms of Death (The Sun Eater, #4)",Christopher Ruocchio,"Ruocchio, Christopher",,1473218357,9781473218352,4.0,Gollancz,Paperback,544,2022,2022,2026/05/17,2026/05/17,,,read,,,,1,0
50156751,"Demon in White (The Sun Eater, #3)",Christopher Ruocchio,"Ruocchio, Christopher",,1473218322,9781473218321,5.0,Gollancz,Paperback,784,2020,2020,2026/04/30,2026/03/23,,,read,,,,1,0
49021976,"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,"Sanderson, Brandon",,0765326388,9780765326386,0,Tor Books,Hardcover,1232,2020,2020,,2026/03/22,currently-reading,currently-reading (#1),currently-reading,,,,1,0
41564599,"Howling Dark (The Sun Eater, #2)",Christopher Ruocchio,"Ruocchio, Christopher",,,,5.0,DAW,Hardcover,688,2019,2019,2026/03/22,2026/03/05,,,read,,,,1,0
36454667,"Empire of Silence (The Sun Eater, #1)",Christopher Ruocchio,"Ruocchio, Christopher",,0756413028,9780756413026,5.0,DAW,Kindle Edition,753,2018,2018,2026/03/03,2026/02/19,,,read,,,,1,0
56791389,"Dungeon Crawler Carl (Dungeon Crawler Carl, #1)",Matt Dinniman,"Dinniman, Matt",,,,5.0,Dandy House,Kindle Edition,464,2020,2020,2026/02/17,2026/02/14,,,read,,,,1,0
223962951,The Wax Child,Olga Ravn,"Ravn, Olga",Martin Aitken,0811238830,9780811238830,0,New Directions,Hardcover,176,2025,2023,,2026/02/15,to-read,to-read (#22),to-read,,,,0,0
35749414,Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David  Reich,"Reich, David",,110187032X,9781101870327,4.0,Pantheon,Hardcover,335,2018,2018,2026/02/09,2025/12/22,,,read,,,,1,0
34002132,"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,"Sanderson, Brandon",,,,5.0,Tor Books,Hardcover,1248,2017,2017,2026/01/31,2026/01/03,,,read,,,,1,0
34927445,"Creators, Conquerors, and Citizens: A History of Ancient Greece",Robin Waterfield,"Waterfield, Robin",,019023430X,9780190234300,0,Oxford University Press,Hardcover,511,2018,2018,,2026/01/26,to-read,to-read (#21),to-read,,,,0,0
